,Area of Residence,Total Original Medicare Part A and/or Part B Enrollees,Total Medicare Part A and/or Part B Persons With Utilization,Total Medicare Part A and/or Part B Program Payments,Medicare Part A and/or Part B Program Payments Per Person With Utilization,Medicare Part A and/or Part B Program Payments Per Original Medicare Enrollee,Total Original Medicare Part A Enrollees,Total Medicare Part A Persons With Utilization,Total Medicare Part A Program Payments,Medicare Part A Program Payments Per Person With Utilization,Medicare Part A Program Payments Per Original Medicare Enrollee,Total Original Medicare Part B Enrollees,Total Medicare Part B Persons With Utilization,Total Medicare Part B Program Payments,Medicare Part B Program Payments Per Person With Utilization,Medicare Part B Program Payments Per Original Medicare Enrollee,Total Beneficiary Cost Sharing,Beneficiary Cost Sharing Per Person With Utilization,Beneficiary Cost Sharing Per Original Medicare Enrollee,Discharged Dead
38,Oklahoma,528377,492453,5988040719,12160,11333,528109,107585,2852468336,26514,5401,462960,483633,3135572383,6483,6773,937635961,1904,1775,26115
39,Oregon,459062,412891,3952432859,9573,8610,458526,70798,1784212918,25201,3891,389676,402480,2168219941,5387,5564,695173785,1684,1514,22569
40,Pennsylvania,1493883,1393506,15821015593,11353,10591,1481205,292286,7640779360,26141,5158,1268419,1367393,8180236233,5982,6449,2527602010,1814,1692,74782
41,Rhode Island,111983,101231,1090410347,10772,9737,109984,21390,544813057,25470,4954,88713,98511,545597290,5538,6150,166506243,1645,1487,6053
42,South Carolina,712041,690388,7303580438,10579,10257,707164,126642,3190808841,25196,4512,643967,680027,4112771597,6048,6387,1212504973,1756,1703,32523
43,South Dakota,136475,151688,1555704395,10256,11399,136409,26258,674408947,25684,4944,121897,150411,881295447,5859,7230,299817726,1977,2197,4744
44,Tennessee,766844,732420,7583702280,10354,9889,763609,146864,3408835879,23211,4464,670104,716924,4174866401,5823,6230,1290621642,1762,1683,40858
45,Texas,2347931,2119870,28089834378,13251,11964,2343348,471057,13915058282,29540,5938,1975392,2069558,14174776096,6849,7176,4216899485,1989,1796,125571
46,Utah,242369,220690,2369071426,10735,9775,239499,42192,1038107002,24604,4334,204517,215083,1330964424,6188,6508,383690728,1739,1583,11567
47,Vermont,124384,114169,1145092454,10030,9206,124291,18025,526765808,29224,4238,111678,113141,618326645,5465,5537,214220119,1876,1722,3863
48,Virginia,1112731,1016486,10542973901,10372,9475,1107790,184419,4690162397,25432,4234,960543,999474,5852811504,5856,6093,1779342468,1750,1599,43725
49,Washington,865220,775317,7559019903,9750,8737,863450,122873,3290191565,26777,3811,739310,763020,4268828338,5595,5774,1348009639,1739,1558,32604
50,West Virginia,254195,255668,2671150063,10448,10508,254051,53694,1328906844,24750,5231,225144,251138,1342243219,5345,5962,462165471,1808,1818,13582
51,Wisconsin,622437,633184,6356566138,10039,10212,622134,119693,2996655124,25036,4817,546260,624176,3359911014,5383,6151,1156358068,1826,1858,33272
52,Wyoming,110505,102034,1102331666,10804,9975,110376,16114,492503596,30564,4462,101463,101392,609828070,6015,6010,205350152,2013,1858,3110
53,Puerto Rico,138182,68185,490661310,7196,3551,137910,23037,325985467,14151,2364,40954,54613,164675843,3015,4021,64503931,946,467,7746
54,Virgin Islands,14753,11957,79831014,6677,5411,14575,1377,41098829,29847,2820,12954,11803,38732185,3282,2990,15112511,1264,1024,344
55,American Samoa,4465,1866,16657728,8927,3731,4465,385,6085055,15805,1363,2511,1772,10572673,5967,4211,3587306,1922,803,50
56,Guam,18082,10883,129455885,11895,7159,17922,1969,71041702,36080,3964,12440,10529,58414183,5548,4696,20895858,1920,1156,329
57,Northern Mariana Islands,2788,1674,18857905,11265,6764,2759,280,7456096,26629,2703,2091,1634,11401809,6978,5453,3765598,2249,1351,35
58,Foreign Countries,496487,7184,44232070,6157,89,496290,975,30110572,30883,61,44758,6651,14121498,2123,316,5389434,750,11,179
59,Unknown,280,*,†,†,†,†,†,†,†,†,†,*,†,†,†,†,†,†,†
